pH min,pH max,nitrogen min,nitrogen max,phosphorus min,phosphorus max,potasium min,potasium max,calcium min,calcium max,magnesium min,magnesium max,sulphur min,sulphur max,iron min,iron max,zinc min,zinc max,manganese min,manganese max,copper min,copper max,boron min,boron max,temperature min,temperature max,precipitation min,precipitation max,class,crop
6.5,7.8,128,128,46,43.7,219,208.05,27,27,19,19,22,20.9,1.71,1.71,0.5,0.475,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.5,6.5,110,157.5,20,28.5,76,120,300,1000,40,100,0,0,45,45,4.5,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
6.5,7.5,200.55,191,89,89,235,246.75,57,57,76.65,73,21,21,0.13,0.13,0.361,0.38,0.357,0.34,0.11,0.1045,0,0,18,27,60,100,2,Maize
5.5,8.5,80,80,40,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.1995,0.17,0.1615,0.3,0.3,0,0,23.75,32,40,40,1,Jowar
6,8,200,200,53,53,280,280,42,42,50,50,30,30,3.57,3.4,0.4,0.4,1.14,1.26,0.6,0.6,0.2,0.21,20,27.3,100,166.25,5,sugercane
4.7,7.5,30,50,2.1,7,12,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.2,0.525,0.02,0.02,0,0,16.5375,20,25,78.75,3,Pulses
4.7,7.125,30,50,2,7,12.6,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.21,0.475,0.02,0.02,0,0,15,20,25,78.75,3,Pulses
5.5,6.5,110,150,19,30,80,120,300,1000,40,100,0,0,45,45,4.5,4.5,5.5125,5,5,25,1,3,24.9375,35,50,57,6,grapes
4.7,7.5,30,50,1.9,7,12,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.2,0.525,0.02,0.02,0,0,15.75,20,25,82.6875,3,Pulses
5.5,7.5,45.125,142.5,18,90,30,385,20,210,13,70,5,8,0.29,7.75,0.294,0.75,0.09,0.42,0.03,0.06,0,0,23.75,36.75,20,20,4,Oil Crop
5.5,6.5,110,150,19,29.925,80,120,300,1000,40,100,0,0,45,45,4.5,4.275,5.25,5,5,25,1,3,25,35,50,63,6,grapes
5.5,6.5,110,150,20,33.075,80,120,300,1000,40,105,0,0,45,45,4.725,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
6.3,8,200,200,53,53,280,266,42,44.1,50,50,30,30,3.4,3.4,0.4,0.4,1.2,1.14,0.6,0.6,0.2,0.21,20,27.3,100,175,5,sugercane
5.5,8.5,80,80,40,40,44.1,40,20,20,17.85,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.17,0.285,0.3,0,0,25,32,40,42,1,Jowar
4.7,7.5,30,50,2,7,12,30,2.85,9.5,1,5,1,3.15,1.2,1.5,0.03,0.04,0.2,0.475,0.02,0.02,0,0,15,21,25,71.25,3,Pulses
6.5,7.875,191,191,89,89,235,235,57,57,76.65,73,21,22.05,0.13,0.13,0.399,0.38,0.323,0.34,0.11,0.1045,0,0,18,27,60,100,2,Maize
4.7,7.5,30,50,2,7,12,30,3,10,1,5,1.05,3,1.2,1.425,0.03,0.04,0.2,0.5,0.019,0.02,0,0,15.75,19,25,78.75,3,Pulses
6,8.4,210,200,53,53,280,280,42,42,50,50,30,30,3.23,3.4,0.4,0.42,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,95,175,5,sugercane
5.5,7.5,50,150,18,90,30,385,19,210,13,66.5,5,8,0.29,8.1375,0.266,0.75,0.09,0.399,0.03,0.06,0,0,25,35,20,19,4,Oil Crop
4.7,7.5,30,52.5,2,7,12,30,3,10.5,1,5,1,3,1.2,1.5,0.03,0.04,0.2,0.475,0.02,0.02,0,0,14.25,20,25,71.25,3,Pulses
6.825,7.8,128,128,46,43.7,219,208.05,27,27,19,19,22,20.9,1.71,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
6,8,200,200,53,53,280,266,42,44.1,50,50,30,30,3.4,3.4,0.4,0.4,1.2,1.083,0.6,0.6,0.2,0.19,20,27.3,100,175,5,sugercane
6,8,200,200,55.65,53,280,266,42,44.1,50,50,30,30,3.4,3.4,0.4,0.4,1.2,1.14,0.6,0.6,0.2,0.19,20,27.3,100,175,5,sugercane
6.5,7.5,200.55,191,89,89,235,223.25,57,57,73,73,21,21,0.13,0.13,0.38,0.38,0.34,0.323,0.11,0.1155,0,0,18,27,57,100,2,Maize
5.225,7.5,50,157.5,18,90,30,385,20,210,13,70,5,8.4,0.29,8.1375,0.294,0.75,0.09,0.42,0.03,0.06,0,0,25,35,20,20,4,Oil Crop
4.7,7.5,30,50,2,7,12,30,2.85,9.025,1,5,1,3,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.02,0,0,15,19,25,71.25,3,Pulses
6,8,200,200,53,47.8325,280,294,39.9,42,50,50,30,30,3.4,3.4,0.4,0.38,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,100,175,5,sugercane
6,8,200,200,53,50.35,280,266,42,39.9,50,50,30,30,3.4,3.4,0.4,0.38,1.2,1.2,0.6,0.6,0.2,0.2,20,23.465,100,175,5,sugercane
6.5,7.8,128,128,46,48.3,208.05,219,27,27,19,19,22,23.1,1.89,1.71,0.5,0.5,0.5,0.525,0.15,0.15,0,0,22,25,62,87,0,wheat
6.5,7.8,121.6,128,46,48.3,208.05,219,27,27,19,19,22,23.1,1.8,1.71,0.5,0.5,0.5,0.525,0.15,0.15,0,0,22,25,62,87,0,wheat
4.7,7.5,30,50,2,7,12,30,3,10,1,5,1.05,3,1.2,1.425,0.03,0.04,0.21,0.5,0.021,0.02,0,0,15,20,23.75,78.75,3,Pulses
5.775,7.5,50,142.5,18,90,30,385,20,210,13,70,5,8,0.29,8.1375,0.2793,0.75,0.09,0.42,0.03,0.06,0,0,25,33.25,20,20,4,Oil Crop
6.5,7.5,191,191,89,93.45,235,235,57,57,69.35,73,21,21,0.13,0.13,0.38,0.361,0.34,0.323,0.11,0.109725,0,0,18,27,60,100,2,Maize
6.5,7.5,191,191,89,89,235,246.75,57,57,73,69.35,22.05,21,0.13,0.13,0.38,0.38,0.34,0.34,0.1155,0.1155,0,0,18,28.35,60,100,2,Maize
5.5,6.5,110,150,20,33.075,80,120,300,1000,40,100,0,0,45,42.75,4.725,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
5.5,7.5,49.875,142.5,18,90,30,385,20,210,13,70,5,8,0.29,7.75,0.294,0.75,0.09,0.42,0.03,0.06,0,0,26.25,36.75,20,20,4,Oil Crop
5.5,6.175,115.5,157.5,20,30,80,120,315,1000,40,100,0,0,45,45,4.5,4.5,4.75,5,5,23.75,1,3,25,35,50,60,6,grapes
6.5,7.8,128,128,43.7,43.7,219,219,27,27,19,19,22,23.1,1.6245,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.5,6.5,110,150,21,28.5,80,120,300,1000,40,100,0,0,45,45,4.5,4.5,5.5125,5,5,25,1,3,23.75,35,50,57,6,grapes
5.5,6.5,110,135.375,20,30,80,120,300,950,40,100,0,0,45,45,4.5,4.5,4.75,5,5,23.75,1,3,25,35,50,60,6,grapes
6,8,200,200,53,53,280,266,42,44.1,50,50,30,30,3.4,3.4,0.4,0.4,1.2,1.14,0.6,0.6,0.2,0.21,20,27.3,95,175,5,sugercane
6.5,7.5,200.55,191,89,89,235,223.25,57,57,73,73,21,21,0.13,0.13,0.38,0.38,0.34,0.323,0.11,0.1155,0,0,18,28.35,63,100,2,Maize
6.5,7.8,128,128,46,48.3,229.95,219,27,27,19,19.95,22,22,1.8,1.71,0.5,0.5,0.5,0.525,0.15,0.15,0,0,22,25,65.1,87,0,wheat
5.5,7.5,52.5,142.5,18,90,30,385,20,199.5,13,70,5,8,0.29,7.75,0.294,0.75,0.09,0.42,0.03,0.06,0,0,25,38.5875,20,20,4,Oil Crop
4.7,7.5,30,50,2,7,11.4,30,3,10,1,4.75,1,3,1.2,1.575,0.03,0.04,0.2,0.525,0.02,0.02,0,0,14.25,20,25,78.75,3,Pulses
6.5,7.5,191,191,89,84.55,235,235,57,57,69.35,73,21,21,0.1235,0.13,0.38,0.38,0.34,0.323,0.11,0.099275,0,0,18,27,60,100,2,Maize
4.7,7.5,30,50,2,7,12,30,3,10.5,1,5,1,3,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.019,0,0,14.25,20,25,71.25,3,Pulses
5.775,8.5,80,80,38,40,40,40,20,20,17,17,21,21,2.5,2.5,0.1995,0.2205,0.17,0.17,0.3,0.315,0,0,23.75,32,40,40,1,Jowar
5.5,6.5,110,142.5,20,28.5,80,120,300,1000,40,105,0,0,45,45,4.5,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
6.175,7.8,128,128,46,48.3,219,219,27,27,19,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.1575,0.15,0,0,22,25,65.1,87,0,wheat
5.5,7.5,50,142.5,18,90,28.5,385,20,210,13,70,5,8,0.29,8.1375,0.3087,0.75,0.09,0.42,0.03,0.06,0,0,25,33.25,20,20,4,Oil Crop
4.7,7.5,30,50,2,7,12,30,3.15,9.5,1,5,1,2.85,1.2,1.5,0.03,0.04,0.21,0.5,0.02,0.021,0,0,15,20,25,71.25,3,Pulses
6.825,7.8,121.6,128,46,43.7,219,219,27,27,19,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.5,6.5,110,142.5,20,28.5,80,120,300,1000,40,95,0,0,45,45,4.5,4.275,5.25,5,5,25,1,3,25,35,50,63,6,grapes
5.5,6.5,110,142.5,20,28.5,80,120,300,1000,40,95,0,0,45,45,4.5,4.5,5.25,5,5,25,1,3.15,25,35,50,63,6,grapes
5.5,7.5,52.5,150,18,90,30,385,20,210,13,73.5,5,8,0.29,8.1375,0.266,0.75,0.09,0.42,0.03,0.06,0,0,25,35,21,20,4,Oil Crop
5.5,7.5,50,150,18,90,30,385,20,210,13,70,5,7.6,0.29,7.3625,0.266,0.75,0.0945,0.441,0.03,0.057,0,0,25,35,20,20,4,Oil Crop
4.7,7.125,30,50,1.9,7,11.4,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.2,0.475,0.02,0.02,0,0,15,20,25,78.75,3,Pulses
6,8,200,200,53,50.35,294,280,42,39.9,50,50,30,30,3.4,3.4,0.42,0.4,1.2,1.14,0.6,0.6,0.2,0.2,20,27.3,100,175,5,sugercane
5.5,7.5,50,157.5,18,90,30,365.75,20,220.5,13,70,5,7.6,0.29,7.75,0.294,0.75,0.0945,0.42,0.03,0.06,0,0,25,35,20,20,4,Oil Crop
5.5,6.5,110,150,21,29.925,80,120,300,1000,40,100,0,0,45,45,4.5,4.5,5.5125,5,5,25,1,3,25,35,50,63,6,grapes
5.5,8.5,80,80,40,40,39.9,40,20,19,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.17,0.3,0.3,0,0,25,33.6,40,42,1,Jowar
5.5,7.5,50,150,18,90,30,385,20,210,13,70,5,8.4,0.29,7.3625,0.266,0.75,0.0945,0.441,0.03,0.057,0,0,25,35,20,20,4,Oil Crop
6.5,7.5,191,191,89,89,235,223.25,57,57,76.65,73,21,21,0.1365,0.13,0.38,0.38,0.357,0.34,0.11,0.109725,0,0,18,27,60,100,2,Maize
6.5,7.5,191,191,89,89,235,246.75,57,57,76.65,73,21,21,0.13,0.13,0.361,0.38,0.33915,0.34,0.11,0.1045,0,0,18,27,60,100,2,Maize
6,8,200,200,53,53,280,294,42,44.1,50,52.5,30,30,3.4,3.4,0.4,0.4,1.2,1.14,0.6,0.63,0.2,0.2,20,27.3,100,175,5,sugercane
6,8,200,200,53,50.35,266,294,44.1,42,50,50,30,30,3.4,3.4,0.4,0.38,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,100,175,5,sugercane
4.7,7.5,30,50,2,7,12,30,3,10,0.95,5,0.95,3,1.2,1.49625,0.03,0.04,0.21,0.5,0.02,0.02,0,0,15,20,25,78.75,3,Pulses
6.5,7.5,191,191,89,89,235,246.75,57,57,76.65,73,21,21,0.13,0.13,0.399,0.38,0.357,0.34,0.1155,0.1045,0,0,18,27,60,100,2,Maize
5.5,7.5,50,150,18,90,30,385,20,210,13,73.5,5,8,0.29,8.1375,0.266,0.75,0.09,0.441,0.03,0.06,0,0,25,35,21,20,4,Oil Crop
5.775,8.5,80,80,36.1,40,40,40,21,20,17,17,21,21,2.5,2.5,0.1995,0.21,0.17,0.17,0.3,0.3,0,0,26.25,32,40,40,1,Jowar
6.3,8,200,200,53,55.65,280,294,42,42,50,50,30,30,3.4,3.4,0.42,0.38,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,100,175,5,sugercane
6.5,7.8,128,128,46,43.7,219,208.05,27,27,19,19,22,20.9,1.71,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.5,7.5,52.5,150,18,90,30,385,20,210,13.65,73.5,5,8,0.29,8.1375,0.266,0.75,0.09,0.42,0.03,0.06,0,0,25,35,19,20,4,Oil Crop
6.5,7.5,191,191,89,89,235,223.25,57,57,76.65,73,21,21,0.13,0.13,0.38,0.38,0.357,0.34,0.1045,0.109725,0,0,18,27,60,100,2,Maize
6.5,7.8,128,128,46,45.885,219,208.05,27,27,19,19,22,20.9,1.71,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.775,8.5,80,80,40,40,40,40,21,20,17,17,21,21,2.5,2.5,0.1995,0.1995,0.17,0.17,0.3,0.285,0,0,23.75,32,40,40,1,Jowar
5.5,8.5,80,79.8,40,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.1615,0.3,0.3,0,0,25,32,40,40,1,Jowar
5.5,8.075,80,84,40,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.1615,0.3,0.3,0,0,25,32,40,40,1,Jowar
6.5,7.8,128,128,46,43.7,219,229.95,27,27,19,19,22,20.9,1.71,1.71,0.5,0.5,0.5,0.5,0.1575,0.15,0,0,22,25,62,87,0,wheat
6,7.6,200,200,53,53,280,280,42,44.1,50,50,30,31.5,3.4,3.4,0.4,0.42,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,95,175,5,sugercane
5.5,7.125,50,142.5,18,90,30,385,20,210,13,70,5,8,0.29,7.3625,0.266,0.7875,0.09,0.399,0.03,0.06,0,0,25,35,20,20,4,Oil Crop
6,8,190,200,53,55.65,280,266,42,42,50,50,28.5,30,3.4,3.4,0.4,0.38,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,100,175,5,sugercane
5.5,6.5,110,142.5,20,28.5,80,120,300,1000,42,95,0,0,45,45,4.5,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
5.5,7.5,50,157.5,18,90,30,385,20,210,13,66.5,5,7.6,0.29,7.75,0.294,0.75,0.0855,0.42,0.03,0.06,0,0,25,33.25,20,20,4,Oil Crop
5.5,8.5,80,76,40,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.153425,0.3,0.3,0,0,25,32,40,40,1,Jowar
6.175,7.41,128,128,46,43.7,219,219,27,25.65,19,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
6,7.6,200,200,53,53,280,266,42,44.1,50,50,30,30,3.4,3.4,0.4,0.4,1.2,1.14,0.6,0.6,0.2,0.21,20,27.3,100,175,5,sugercane
4.7,7.5,30,50,2.1,7,12,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.2,0.525,0.02,0.019,0,0,15.75,20,25,78.75,3,Pulses
5.5,6.5,110,142.5,20,30,80,114,300,1050,40,100,0,0,45,45,4.5,4.5,4.75,5,5,26.25,1,3.15,25,35,50,60,6,grapes
6.5,7.8,128,128,46,43.7,219,219,27,27,19,19,22,22,1.885275,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
6,8,200,200,53,53,280,280,42,42,50,47.5,30,30,3.4,3.4,0.4,0.4,1.14,1.26,0.6,0.6,0.2,0.21,20,27.3,100,166.25,5,sugercane
6.5,7.8,121.6,128,46,48.3,229.95,219,27,27,19,19,22,22,1.8,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,58.9,87,0,wheat
5.5,8.5,80,80,40,40,42,40,20,20,17,17,21,21,2.5,2.5,0.209475,0.21,0.17,0.17,0.315,0.3,0,0,25,32,40,38,1,Jowar
5.5,6.5,110,150,20,33.075,80,120,300,1000,38,100,0,0,45,45,4.725,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
4.7,7.5,30,50,2,7,12,30,3,10,1,4.75,1.05,3,1.2,1.425,0.03,0.04,0.21,0.5,0.021,0.02,0,0,15,20,25,78.75,3,Pulses
6,8,200,200,53,53,280,280,42,42,50,50,30,30,3.4,3.4,0.4,0.42,1.2,1.26,0.63,0.6,0.2,0.21,20,27.3,100,183.75,5,sugercane
5.5,6.5,110,150,20,28.5,76,120,300,1000,40,100,0,0,45,45,4.5,4.275,5.25,5,5,25,1,3,26.25,35,50,57,6,grapes
5.5,8.5,80,80,42,40,34.295,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.1785,0.3,0.3,0,0,25,32,40,40,1,Jowar
5.5,6.5,110,157.5,20,28.5,80,120,300,1000,40,100,0,0,45,45,4.5,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
6.5,7.8,128,128,46,48.3,208.05,219,27,27,19,19,22,23.1,1.8,1.6245,0.5,0.5,0.5,0.525,0.15,0.15,0,0,22,25,62,87,0,wheat
6.5,7.5,191,191,89,89,235,246.75,57,57,73,76.65,21,21,0.13,0.13,0.38,0.38,0.34,0.323,0.11,0.1155,0,0,18,25.65,60,105,2,Maize
5.5,7.5,50,142.5,17.1,90,30,385,20,210,13,70,5,8,0.29,8.1375,0.3087,0.75,0.09,0.42,0.03,0.06,0,0,25,33.25,20,20,4,Oil Crop
6,8.4,190,200,53,53,280,280,42,42,50,50,30,30,3.4,3.4,0.4,0.42,1.2,1.2,0.6,0.6,0.2,0.19,20,24.7,100,166.25,5,sugercane
4.7,7.5,30,47.5,2,7,12,31.5,3.15,9.5,1,5,1,3,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.019,0,0,15,20,25,71.25,3,Pulses
4.7,7.5,30,50,2,7,12,30,3.15,9.5,1,5,1,2.85,1.2,1.5,0.03,0.038,0.2,0.5,0.02,0.021,0,0,15,20,25,71.25,3,Pulses
6,7.6,200,200,53,53,280,280,42,42,50,50,30,28.5,3.4,3.4,0.4,0.42,1.2,1.2,0.6,0.6,0.2,0.2,19,24.7,95,175,5,sugercane
6.5,7.8,128,128,46,43.7,219,219,27,27,19,19.95,22,22,1.7955,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
6,8,200,200,53,53,280,280,42,42,50,50,30,30,3.4,3.4,0.4,0.4,1.2,1.26,0.5985,0.63,0.2,0.2,20,27.3,100,183.75,5,sugercane
4.7,7.5,30,52.5,2,7,12,30,3.15,9.5,1,4.75,1,3,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.019,0,0,15,20,25,71.25,3,Pulses
5.5,6.175,110,157.5,20,30,80,120,285,1000,40,100,0,0,45,45,4.5,4.5,4.75,5,5,23.75,1,2.85,25,35,50,60,6,grapes
5.5,7.5,50,157.5,18,90,30,385,20,210,13,70,5.25,7.98,0.29,7.3625,0.294,0.75,0.09,0.42,0.03,0.06,0,0,25,35,20,20,4,Oil Crop
4.7,7.5,28.5,50,2.1,7,12,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.2,0.525,0.02,0.02,0,0,15.75,20,25,78.75,3,Pulses
5.5,6.825,104.5,157.5,20,30,80,120,300,1050,40,100,0,0,45,45,4.5,4.5,4.75,5,5,25,1,3,23.75,35,50,60,6,grapes
6.5,7.5,191,181.45,89,89,223.25,235,57,57,69.35,73,21,21,0.13,0.13,0.38,0.38,0.34,0.357,0.11,0.1045,0,0,18,25.65,60,100,2,Maize
4.7,7.5,30,50,2,7.35,12,30,3,10,1,5,0.95,3,1.2,1.49625,0.03,0.04,0.21,0.5,0.02,0.02,0,0,15,20,25,78.75,3,Pulses
6.175,7.8,128,128,46,48.3,219,219,27,27,19,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.1425,0.15,0,0,22,23.75,65.1,87,0,wheat
4.7,7.5,30,50,2,7,12,30,3,10,1,5,1.05,3,1.2,1.425,0.03,0.04,0.2,0.5,0.019,0.02,0,0,15.75,20,25,78.75,3,Pulses
6.5,7.8,128,128,48.3,43.7,219,219,27,27,19,19,22,23.1,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.225,6.175,110,157.5,20,30,80,120,285,1000,40,100,0,0,45,45,4.5,4.5,4.75,5,5,23.75,1,3,25,35,50,60,6,grapes
6.3,8,200,200,53,53,280,280,42,42,50,50,30,30,3.4,3.4,0.4,0.4,1.14,1.26,0.6,0.6,0.2,0.21,20,27.3,100,166.25,5,sugercane
5.5,6.5,110,150,21,29.925,80,120,300,1000,40,100,0,0,45,45,4.725,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
5.225,7.5,50,142.5,18,90,30,385,20,210,13,70,5,8,0.29,7.75,0.2793,0.7125,0.09,0.42,0.03,0.06,0,0,25,33.25,20,20,4,Oil Crop
6,7.6,190,200,53,53,266,280,42,42,50,50,30,30,3.4,3.4,0.4,0.42,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,105,175,5,sugercane
6.175,7.8,128,128,48.3,48.3,219,219,27,27,19,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,58.9,82.65,0,wheat
6,8,200,200,53,53,280,266,42,44.1,50,50,28.5,30,3.4,3.4,0.4,0.4,1.2,1.14,0.6,0.6,0.2,0.21,20,27.3,100,175,5,sugercane
5.5,6.175,110,157.5,20,30,80,114,315,1000,40,100,0,0,45,45,4.5,4.5,4.75,5,5,23.75,1,3,25,35,50,60,6,grapes
6.825,7.8,134.4,128,46,48.3,219,219,27,27,19,19,22,22,1.8,1.89,0.525,0.5,0.5,0.5,0.15,0.15,0,0,22,26.25,62,87,0,wheat
5.225,7.5,52.5,150,18,90,30,385,20,210,13,73.5,5,8,0.29,8.1375,0.266,0.75,0.09,0.42,0.03,0.06,0,0,25,35,19,20,4,Oil Crop
4.7,7.5,30,50,2.1,7,12,30,3,10,1,5,1,3,1.2,1.575,0.03,0.04,0.2,0.525,0.02,0.02,0,0,15.75,19,25,78.75,3,Pulses
4.7,7.5,30,50,2,7,12,30,2.85,9.5,1,5,0.95,3,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.02,0,0,15,19,25,71.25,3,Pulses
6.825,7.8,121.6,128,46,48.3,219,219,27,27,19,19,22,20.9,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.5,6.5,110,150,19,33.075,80,120,300,1000,40,100,0,0,45,45,4.275,4.5,5.25,5,5,25,1,3,25,35,50,63,6,grapes
6.5,7.5,191,191,89,89,235,246.75,57,57,73,76.65,21,21,0.13,0.13,0.38,0.38,0.34,0.357,0.11,0.1155,0,0,18,25.65,57,100,2,Maize
6,7.6,200,200,53,50.35,294,280,42,42,50,50,30,30,3.4,3.4,0.4,0.42,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,105,175,5,sugercane
6,8,200,200,53,55.65,280,266,44.1,42,50,50,28.5,30,3.4,3.4,0.4,0.38,1.2,1.2,0.6,0.6,0.2,0.2,20,24.7,100,175,5,sugercane
5.5,6.5,110,150,20,30,80,120,300,1000,40,100,0,0,45,45,4.5,4.5,4.9875,5,5,25,1,3,23.75,33.25,52.5,57,6,grapes
4.7,7.5,30,47.5,2,7,12,30,3.15,9.5,1,5,1,3.15,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.019,0,0,15,20,25,71.25,3,Pulses
5.5,8.5,80,76,40,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.1615,0.3,0.285,0,0,25,32,40,40,1,Jowar
5.225,7.5,50,157.5,18,90,30,385,20,210,13,70,5,8.4,0.29,8.544375,0.294,0.75,0.09,0.42,0.03,0.06,0,0,25,35,20,20,4,Oil Crop
5.5,7.5,50,150,18,94.5,30,385,20,210,13,70,5,8,0.29,7.3625,0.266,0.75,0.09,0.441,0.03,0.063,0,0,25,35,21,20,4,Oil Crop
5.5,7.5,50,150,18,90,30,385,19,210,13,66.5,5,8,0.29,8.1375,0.266,0.75,0.09,0.441,0.03,0.06,0,0,25,35,20,19,4,Oil Crop
4.7,7.5,30,50,2,7,12,30,2.7075,9.5,1,5,1,3,1.2,1.5,0.03,0.04,0.2,0.5,0.02,0.02,0,0,15,19,25,71.25,3,Pulses
5.5,6.5,110,150,20,28.5,80,120,300,1000,40,100,0,0,45,45,4.5,4.725,5.25,5,5,25,1,3,26.25,35,50,57,6,grapes
6.5,7.8,128,128,46,43.7,219,208.05,27,27,19,19,20.9,20.9,1.71,1.71,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
6.5,7.5,191,191,89,89,223.25,235,57,57,69.35,73,21,21,0.13,0.13,0.399,0.38,0.34,0.357,0.11,0.1045,0,0,18,25.65,60,100,2,Maize
6.5,7.5,181.45,191,89,89,235,223.25,57,57,73,73,21,21,0.13,0.13,0.38,0.399,0.34,0.323,0.11,0.1155,0,0,18,27,60,100,2,Maize
5.5,7.5,52.5,142.5,18,90,30,385,20,210,13,70,5,8,0.29,7.75,0.294,0.75,0.09,0.42,0.03,0.06,0,0,25,34.9125,20,20,4,Oil Crop
5.5,7.5,52.5,142.5,18,90,30,385,20,220.5,13,70,5,8,0.29,7.75,0.294,0.75,0.09,0.42,0.03,0.06,0,0,25,38.5875,20,20,4,Oil Crop
6.5,7.5,191,191,89,93.45,235,235,57,57,69.35,73,21,21,0.13,0.13,0.38,0.38,0.34,0.323,0.11,0.099275,0,0,18,28.35,60,100,2,Maize
5.5,8.5,80,80,40,40,34.295,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.1995,0.17,0.1785,0.3,0.3,0,0,25,32,40,40,1,Jowar
6.825,7.8,128,121.6,46,43.7,219,219,27,27,19,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
5.5,8.5,80,76,42,40,38,40,20,20,17,17,21,21,2.5,2.5,0.2205,0.21,0.17,0.1615,0.3,0.3,0,0,25,32,40,40,1,Jowar
4.7,7.5,30,50,2,7,12,30,3,10,1,5,0.9025,3,1.2,1.49625,0.03,0.04,0.21,0.5,0.02,0.02,0,0,15,20,25,78.75,3,Pulses
6.5,7.5,191,191,89,89,223.25,223.25,57,57,69.35,73,21,21,0.13,0.13,0.38,0.38,0.34,0.357,0.11,0.1045,0,0,18,25.65,60,100,2,Maize
5.225,8.5,80,80,36.1,40,40,40,20,20,17,17,21,21,2.5,2.5,0.1995,0.21,0.17,0.17,0.3,0.3,0,0,26.25,32,40,42,1,Jowar
6.825,7.8,134.4,128,46,48.3,219,219,27,27,18.05,19,22,22,1.8,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,26.25,62,87,0,wheat
6.175,8.19,128,128,46,43.7,219,219,27,27,19,19,22,22,1.71,1.89,0.5,0.5,0.5,0.5,0.15,0.15,0,0,22,25,62,87,0,wheat
